TV;Radio;Social Media;Influencer;Sales
16;6.566.230.788;2.907.982.773;Mega;5.473.275.715
13;9.237.764.567;2.409.567.204;Mega;4.667.789.698
41;1.588.644.602;2.913.410.175;Mega;1.501.778.288
83;3.002.002.826;6.922.303.959;Mega;2.982.463.398
15;8.437.407.682;140.599.815;Micro;565.941.808
29;9.614.382.036;102.716.349;Mega;1.058.891.476
55;2.489.381.148;4.273.602.146;Micro;1.986.798.248
31;1.735.504.181;2.289.854.925;Nano;1.087.339.319
76;2.464.889.821;7.130.115.956;Macro;2.701.894
13;0.431127823;2.229.423.022;Mega;4.828.058.223
62;2.434.518.879;5.151.483.172;Nano;2.249.610.192
42;158.073.374;3.194.924.641;Mega;1.455.439.916
64;2.024.042.393;3.921.147.972;Micro;2.296.323.807
;2.235.166.709;3.031.815.334;Mega;2.761.653.513
34;0.226326491;2.372.705.624;Nano;1.213.364.193
36;390.019.598;0.060401795;Nano;1.235.261.126
60;2.235.372.075;0.940801841;Mega;2.127.643.968
25;9.905.842.649;1.853.224.897;Micro;898.199.226
100;3.611.609.149;367.429.598;Macro;3.538.046.387
92;4.073.698.967;4.636.563.904;Nano;3.293.505.396
46;1.269.509.229;388.458.384;Macro;1.621.913.335
78;3.556.822.382;2.832.450.089;Macro;2.764.013.399
37;2.828.972.458;4.556.701.242;Micro;1.284.846.619
99;3.726.381.865;688.653.481;Nano;3.498.615.752
75;2.034.898.797;1.227.180.495;Micro;2.722.501.078
54;27.807.614;4.060.781.965;Nano;1.924.619.083
;3.411.167.359;4.624.148.295;Nano;3.429.133.724
27;7.280.088.955;2.179.478.014;Micro;9.674.937.343
21;9.282.685.174;3.055.758.381;Mega;7.699.292.807
40;1.305.041.081;1.971.184.795;Nano;1.392.887.894
67;2.413.761.593;5.573.093.351;Mega;2.348.510.253
90;2.902.101.661;6.431.995.293;Micro;3.230.321.827
12;3.567.660.711;3.558.311.365;Nano;4.079.219.533
81;2.733.577.511;5.263.650.376;Micro;2.907.775.735
43;1.634.871.104;2.814.013.458;Mega;1.506.264.947
47;1.737.652.562;1.905.040.273;Mega;1.617.851.523
43;1.823.019.243;4.079.293.023;Nano;1.555.991.953
75;2.362.623.841;6.199.769.157;Mega;2.630.206.872
79;2.351.057.067;2.188.926.056;Macro;2.815.789.422
65;2.456.354.623;341.966.808;Macro;2.316.700.477
43;1.284.212.842;2.593.697.318;Macro;1.487.069.665
82;2.764.758.545;5.611.221.835;Macro;2.949.524.151
68;2.163.920.124;3.223.647.705;Micro;2.428.248.811
98;3.757.095.206;8.529.604.366;Mega;3.517.730.679
26;1.059.953.251;0.679275349;Macro;9.192.229.739
10;6.145.248.262;1.591.116.473;Macro;3.256.682.505
;3.485.963.715;7.781.416.681;Mega;3.189.697.838
32;0.627618771;2.676.075.167;Micro;1.152.625.668
29;8.852.094.414;0.041494349;Macro;1.018.731.014
32;1.152.414.895;2.566.791.358;Mega;1.118.997.121
29;144.341.063;0.463277331;Macro;1.043.526.653
91;4.010.852.728;7.236.170.474;Mega;3.263.817.124
83;3.428.141.179;8.697.487.404;Nano;3.007.305.325
72;2.392.269.582;3.373.809.656;Mega;2.551.551.652
47;2.416.913.194;2.087.910.259;Micro;1.617.170.871
10;3.455.868.379;2.400.118.071;Micro;3.962.567.824
49;1.006.762.616;1.729.667.405;Macro;1.690.081.129
14;5.197.856.187;0.413965989;Mega;5.098.848.158
20;1.075.005.058;2.442.173.814;Macro;7.047.172.273
17;1.044.745.162;3.356.106.421;Nano;5.859.009.126
68;298.927.411;6.096.743.741;Mega;2.377.721.637
91;2.504.555.745;6.109.369.688;Macro;3.221.004.964
52;1.711.323.977;2.638.642.418;Mega;1.810.796.122
41;3.921.540.021;2.527.850.591;Nano;1.459.192
65;1.165.648.785;0.358471532;Micro;2.285.646.491
82;3.160.769.079;3.952.448.108;Mega;2.889.822.393
14;1.864.944.183;4.529.927.084;Mega;4.981.567.405
84;3.126.640.836;8.080.731.556;Nano;299.099.052
99;3.014.056.912;6.546.158.024;Mega;3.513.598.902
15;2.234.293.408;107.771.826;Mega;5.500.971.238
64;2.469.852.188;6.741.382.758;Micro;2.230.991.462
70;152.477.262;4.587.703.384;Macro;2.471.394.014
77;2.682.235.002;5.514.187.222;Nano;2.747.071
81;2.039.194.685;3.212.250.256;Macro;2.891.757.587
46;1.779.013.454;4.117.631.989;Micro;1.680.365.387
;648.229.344;0.866844994;Macro;9.117.721.555
56;2.527.608.704;3.239.265.214;Mega;1.983.215.216
98;3.305.515.873;6.063.457.718;Mega;3.497.452.965
47;182.339.617;0.827545346;Mega;1.661.372.196
18;8.808.702.773;2.414.186.295;Nano;5.928.931.563
77;229.553.127;2.642.504.816;Mega;2.726.321.364
22;6.041.725.794;2.136.632.357;Mega;7.741.731.834
99;377.178.052;3.590.086.383;Nano;3.494.239.745
36;9.096.779.889;381.883.449;Mega;1.270.926.738
12;1.648.197.979;130.572.513;Mega;4.306.509.252
94;4.711.629.339;9.322.957.802;Micro;3.365.934.202
97;3.923.230.636;3.698.661.076;Nano;3.453.131.637
44;1.691.203.429;4.034.660.177;Macro;1.542.065.565
86;3.152.189.727;6.398.283.645;Mega;3.047.437.748
93;3.305.945.096;578.929.841;Micro;3.352.090.696
30;1.064.510.759;1.915.517.115;Macro;1.041.809.671
32;0.758066665;2.359.200.238;Mega;112.269.694
29;2.172.596.338;4.208.324.504;Mega;1.036.348.659
72;2.540.659.637;3.215.455.403;Micro;2.624.011.715
14;8.001.265.854;418.783.431;Micro;5.144.298.395
95;3.841.522.497;7.673.636.553;Micro;3.367.606.331
20;3.934.783.488;0.328469804;Nano;7.262.590.273
49;2.435.904.434;3.797.367.287;Nano;1.741.981.389
29;1.121.368.878;0.55883658;Macro;9.899.963.768
;7.635.819.371;1.554.145.839;Macro;5.618.672.988
39;1.318.725.635;2.766.352.269;Macro;1.404.152.859
87;3.370.789.822;3.327.272.719;Nano;3.093.616.681
38;9.437.711.713;4.377.587.812;Mega;1.335.654.887
43;9.726.736.048;0.337998227;Macro;1.522.546.677
30;8.421.994.731;3.279.480.595;Macro;1.123.081.088
93;1.995.638.677;2.261.406.312;Mega;3.335.791.129
86;2.526.070.742;6.765.663.894;Nano;3.076.190.894
63;2.603.598.627;3.290.816.886;Nano;2.254.862.319
93;2.803.820.883;2.924.281.836;Nano;3.339.664.321
94;3.214.620.508;461.092.529;Macro;3.346.459.156
63;2.184.654.391;264.241.023;Macro;2.224.683.071
30;1.746.901.907;4.337.634.178;Nano;1.051.853.123
18;7.291.955.516;2.317.959.067;Micro;6.231.766.345
24;3.426.021.221;0.00317676;Micro;8.611.553.566
56;1.488.018.119;2.367.556.821;Macro;197.225.133
40;1.742.884.965;3.306.706.147;Macro;1.438.359.148
74;2.956.295.098;2.060.719.698;Micro;263.105.633
52;1.456.589.504;19.982.184;Mega;1.829.860.143
74;2.022.086.793;4.540.904.518;Macro;2.677.373.384
;3.047.048.529;6.806.918.967;Micro;3.368.186.903
70;153.541.893;1.049.369.556;Micro;2.507.513.879
99;3.387.824.351;8.091.610.987;Mega;3.565.821.434
42;1.521.523.612;1.501.445.964;Nano;1.452.164.746
85;3.179.693.826;216.250.238;Mega;303.397.391
38;8.872.274.678;1.605.213.404;Macro;1.323.443.679
30;1.543.267.247;39.865.702;Macro;1.045.039.262
49;2.103.218.038;5.087.016.957;Micro;1.745.641.128
27;6.447.508.155;1.415.638.249;Mega;9.643.343.282
30;4.561.312.156;1.652.759.623;Mega;1.041.503.565
100;3.657.380.821;5.273.156.173;Mega;3.547.973.747
21;1.380.311.071;5.286.680.958;Mega;8.094.072.509
38;1.890.360.911;4.889.993.447;Macro;1.311.015.188
39;9.722.746.017;0.903060425;Micro;1.355.443.199
14;4.828.279.786;0.28603859;Micro;4.918.778.559
40;18.378.401;1.320.080.106;Mega;1.413.801.238
33;1.744.947.546;0.887761603;Macro;1.193.308.074
88;2.600.963.987;1.495.600.762;Nano;3.210.466.894
67;2.848.182.095;1.520.803.886;Mega;2.404.027.581
65;2.006.155.575;3.529.274.197;Nano;2.269.989.318
95;3.073.728.576;8.980.234.377;Micro;3.414.281.402
95;3.642.230.623;9.997.472.195;Nano;3.353.014.311
;9.164.463.979;1.096.681.429;Macro;6.525.918.923
77;316.532.001;7.776.978.403;Nano;2.739.603.772
70;2.143.851.856;5.708.104.984;Mega;2.493.019.048
34;1.619.365.273;0.792203039;Mega;1.170.546.557
59;1.345.217.597;150.308.216;Macro;2.087.495.053
30;121.555.835;0.932529328;Macro;1.060.995.933
68;2.238.968.684;1.506.105.779;Micro;2.430.816.632
43;8.573.864.534;3.298.362.157;Micro;1.569.537.519
18;8.477.135.293;0.608817354;Mega;6.170.848.657
84;339.556.193;4.479.871.088;Nano;2.993.466.037
61;2.838.518.716;6.157.704.568;Micro;2.224.507.601
24;1.188.643.795;1.558.209.074;Micro;8.254.907.175
41;8.715.248.318;0.181466489;Nano;1.445.920.869
67;1.830.464.111;4.895.171.905;Micro;234.021.177
51;2.400.692.574;4.152.022.007;Nano;1.833.277.351
100;3.673.413.489;7.359.714.283;Micro;3.541.039.697
44;1.894.795.499;2.229.813.818;Micro;1.605.796.388
10;0.758569411;0.527880863;Nano;3.554.799.802
21;1.397.371.107;1.444.591.132;Nano;7.754.794.767
32;5.471.955.572;0.672964457;Micro;1.103.748.636
98;3.136.391.464;5.657.550.436;Nano;3.514.266.721
39;4.856.123.013;0.874163256;Macro;1.310.772.545
;381.184.237;6.676.611.421;Micro;3.285.551.842
40;1.963.906.306;0.795725948;Micro;1.461.456.862
44;1.901.537.456;6.543.306.951;Mega;1.535.822.256
49;2.487.104.934;5.036.281.432;Nano;1.749.861.639
78;3.011.726.533;3.357.794.085;Macro;278.955.153
49;2.042.365.468;4.346.777.364;Mega;1.783.746.767
55;2.237.478.299;5.066.577.857;Mega;1.970.111.372
73;2.286.737.608;0.968984226;Nano;2.610.908.818
58;1.739.877.506;4.007.447.145;Nano;204.099.035
82;2.343.478.708;5.914.866.129;Micro;2.880.207.452
27;1.033.353.047;1.130.122.514;Macro;9.761.236.339
94;2.934.460.985;3.436.481.014;Mega;3.363.726.161
69;2.329.045.109;5.671.686.076;Mega;245.979.961
94;3.709.705.521;7.596.290.451;Nano;334.643.793
70;2.380.856.837;3.766.603.039;Micro;2.464.947.988
88;2.746.149.343;1.524.062.069;Macro;3.121.429.635
64;2.308.148.805;3.056.298.128;Macro;2.195.681.841
39;1.178.254.265;2.956.726.836;Micro;1.383.753.078
99;3.773.241.144;772.405.273;Macro;3.490.483.366
81;2.642.542.193;;Macro;288.649.441
;1.287.060.452;0.396178735;Macro;5.654.529.263
25;0.413849392;;Macro;9.235.709.194
